trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
trip_000001,taxi_5506,2021-06-28T06:00:00,2021-06-28T06:14:23.121708,863,0.5,32,29,9.41,1.93,0.0,0,11.34,Cash,Yellow Cab,41.95601969245375,-87.33625634583613,41.602163299577654,-87.71246254425179
trip_000002,taxi_4811,2021-06-02T06:00:00,2021-06-02T06:08:23.515550,503,4.0,65,4,15.18,3.66,0.0,0,18.84,Credit Card,Flash Cab,41.97961176775345,-87.48894002112782,41.801711892576996,-87.69063276297292
trip_000003,taxi_7924,2021-06-12T20:00:00,2021-06-12T20:05:24.959170,324,0.5,44,36,6.27,0.87,0.0,0,7.14,Cash,Flash Cab,42.12432784332407,-87.78072436390991,41.60564750602809,-87.97262689853324
trip_000004,taxi_1711,2021-06-15T16:00:00,2021-06-15T16:09:03.133707,543,1.4,59,69,9.54,0.26,0.0,2,11.8,Credit Card,Blue Ribbon,41.597280118847074,-87.81545737487433,41.92718387969667,-87.34163860165056
trip_000005,taxi_2139,2021-06-16T10:00:00,2021-06-16T10:16:18.644480,978,3.3,6,30,16.3,0.95,0.0,2,19.25,Mobile,Yellow Cab,42.06319063260909,-87.35681306659579,41.7780757350235,-87.68727175810525
trip_000006,taxi_6820,2021-06-16T13:00:00,2021-06-16T13:08:00.281434,480,0.5,27,35,7.18,0.48,0.0,0,7.66,Credit Card,Chicago Taxi,41.93098697291824,-87.62268809837624,41.696886555090856,-87.6801918305191
trip_000007,taxi_4598,2021-06-12T12:00:00,2021-06-12T12:17:10.721625,1030,0.5,42,8,10.39,2.37,6.5,5,24.26,Cash,Yellow Cab,42.03302748046273,-87.72906817038215,41.58971316312693,-87.31949110065158
trip_000008,taxi_4483,2021-06-25T04:00:00,2021-06-25T04:19:26.434986,1166,0.9,64,51,11.98,2.26,0.0,5,19.24,Credit Card,Flash Cab,41.708928099898834,-87.85269799384481,41.88682088049789,-87.83980671318166
trip_000009,taxi_7543,2021-06-25T22:00:00,2021-06-25T22:23:42.399625,1422,1.2,47,29,14.18,3.63,0.0,1,18.81,Cash,Chicago Taxi,41.84610950093378,-87.44537427397302,42.0666617458,-87.9277269445214
trip_000010,taxi_2040,2021-06-07T19:00:00,2021-06-07T19:07:03.332778,423,0.5,50,49,6.84,2.24,0.0,5,14.08,Credit Card,Blue Ribbon,41.867468607059486,-87.27313729790912,42.0664678213407,-88.04081518244575
